p,sigma_rad,wallTime_s,runID,ScintPhotonCount,CherenkovPhotonCount,PhotonHitSi,eps_col,Esc_CrystalAbsorbed,Esc_TopAir,Esc_SideAir,Esc_PTFE,Esc_Grease,Esc_World,Mean_IncidenceAngle_deg,Mean_HitCount,theory_M1,theory_M2,delta_to_M1,delta_to_M2,within_M2_M1
0.7,0.15,1.74,0,0,0,786,0.862788,37,0,0,64,13,3,20.4957,1.0,0.7232419592941313,0.42970332563008545,0.13954604070586873,0.43308467436991455,False
0.8,0.15,1.75,0,0,0,774,0.861915,31,0,0,68,15,3,20.7556,0.998706,0.6971131237451584,0.4819783560013913,0.16480187625484155,0.3799366439986087,False
1.0,0.15,1.72,0,0,0,829,0.850256,22,0,17,79,8,10,21.8283,1.0,0.6508868035004586,0.6508868035004586,0.19936919649954143,0.19936919649954143,False
0.0,0.2,1.74,0,0,0,887,0.913491,70,0,0,0,8,0,20.1379,1.0,0.9999999999999998,0.26990825376675764,-0.08650899999999973,0.6435827462332424,True
0.1,0.2,1.73,0,0,0,802,0.898096,65,0,0,13,5,0,20.2854,1.0,0.9599175967048647,0.287194317397749,-0.061821596704864645,0.6109016826022511,True
0.2,0.2,1.74,0,0,0,843,0.89018,58,0,0,30,10,1,20.047,1.0,0.9230312983662996,0.3069360075896233,-0.03285129836629963,0.5832439924103767,True
0.3,0.2,1.78,0,0,0,799,0.882873,49,0,0,39,6,2,20.4432,0.998748,0.8889708428767586,0.32970862667917666,-0.00609784287675863,0.5531643733208234,True
0.4,0.2,1.75,0,0,0,679,0.870513,43,0,0,47,3,1,20.0031,1.0,0.8574211175175639,0.3562845873478219,0.01309188248243609,0.5142284126521781,False
0.5,0.2,1.76,0,0,0,838,0.869295,43,0,0,66,9,1,20.6011,1.0,0.828112256391887,0.38772624861392235,0.041182743608113026,0.4815687513860777,False
0.6,0.2,1.74,0,0,0,809,0.865241,45,0,0,61,8,2,19.993,1.0,0.8008117977546292,0.4255368277853403,0.06442920224537085,0.43970417221465974,False
0.7,0.2,1.76,0,0,0,753,0.859589,37,0,0,65,9,4,20.8643,1.0,0.775318418073844,0.47191676286466544,0.084270581926156,0.3876722371353346,False
0.8,0.2,1.78,0,0,0,849,0.864562,37,0,0,73,10,6,20.4425,1.0,0.7514568849799543,0.5302229155765981,0.11310511502004572,0.334339084423402,False
1.0,0.2,1.74,0,0,0,798,0.850746,22,0,16,76,8,9,21.9292,1.0,0.708035056522468,0.708035056522468,0.142710943477532,0.142710943477532,False
0.0,0.3,1.75,0,0,0,904,0.916836,65,0,0,3,6,0,21.0309,1.00111,1.0,0.2863885350092239,-0.08316400000000002,0.6304474649907761,True
0.1,0.3,1.77,0,0,0,896,0.896,64,0,0,24,9,1,20.9175,1.0,0.9702683781686066,0.30633437519860685,-0.07426837816860654,0.5896656248013932,True
0.2,0.3,1.76,0,0,0,768,0.897196,48,0,0,27,7,0,20.4434,1.0,0.9421833202166598,0.32908162780161454,-0.044987320216659854,0.5681143721983855,True
0.3,0.3,1.74,0,0,0,885,0.885,48,0,0,47,11,2,20.6867,1.0,0.9156127424330323,0.35524926469390217,-0.030612742433032247,0.5297507353060978,True
0.4,0.3,1.74,0,0,0,843,0.879958,42,0,0,58,7,3,20.2346,1.0,0.8904383002567255,0.385651119898332,-0.010480300256725528,0.494306880101668,True
0.5,0.3,1.72,0,0,0,846,0.880333,42,0,0,56,7,4,20.5221,1.0,0.8665536476532861,0.4213787901132483,0.013779352346713902,0.45895420988675173,False
0.6,0.3,1.76,0,0,0,846,0.873065,35,0,0,62,13,7,20.5017,0.998818,0.8438629545617954,0.4639307229611256,0.029202045438204594,0.4091342770388744,False
0.7,0.3,1.74,0,0,0,715,0.859375,34,0,0,62,9,6,20.8039,1.0,0.8222796388499382,0.5154205699927517,0.037095361150061845,0.34395443000724835,False
0.8,0.3,1.76,0,0,0,870,0.87,35,0,0,69,10,7,21.0104,0.998849,0.801725277420647,0.578928032885574,0.06827472257935296,0.29107196711442596,False
1.0,0.3,1.78,0,0,0,746,0.850627,20,0,14,73,7,9,21.996,1.0,0.7634250152923858,0.7634250152923858,0.0872019847076142,0.0872019847076142,False
0.0,0.4,1.81,0,0,0,824,0.915556,56,0,0,2,9,0,20.1721,1.0,0.9999999999999993,0.2874549231205943,-0.0844439999999993,0.6281010768794058,True
0.1,0.4,1.77,0,0,0,889,0.898888,56,0,0,16,16,1,21.0117,1.0,0.9739462027140031,0.30840101779767315,-0.0750582027140031,0.5904869822023269,True
0.2,0.4,1.81,0,0,0,843,0.886435,51,0,0,35,10,1,20.8937,0.998814,0.9491432334445751,0.3322882133333893,-0.0627082334445751,0.5541467866666107,True
0.3,0.4,1.75,0,0,0,759,0.881533,40,0,0,44,10,3,21.7665,1.00132,0.9255037327220922,0.3597624634588166,-0.043970732722092176,0.5217705365411834,True
0.4,0.4,1.73,0,0,0,862,0.878695,44,0,0,51,13,3,20.4381,1.0,0.9029482839065448,0.39167203508295223,-0.024253283906544798,0.4870229649170478,True
0.5,0.4,1.75,0,0,0,782,0.867925,42,0,0,56,8,5,20.7123,1.0,0.8814045306419243,0.4291532325813492,-0.013479530641924309,0.43877176741865076,True
0.6,0.4,1.74,0,0,0,832,0.866667,39,0,0,64,12,5,20.5754,1.0,0.8608064094245282,0.4737637147777122,0.005860590575471725,0.3929032852222878,False
0.7,0.4,1.79,0,0,0,865,0.865,34,0,0,74,14,5,21.6466,1.0,0.8410934801406833,0.5276973687725748,0.02390651985931669,0.3373026312274252,False
0.8,0.4,1.73,0,0,0,751,0.87022,32,0,0,62,10,2,21.2557,1.0,0.8222103402868047,0.5941455491242731,0.04800965971319526,0.2760744508757269,False
1.0,0.4,1.73,0,0,0,782,0.852781,21,0,15,74,7,9,21.7663,1.0,0.7867339842783101,0.7867339842783101,0.06604701572168992,0.06604701572168992,False
0.0,0.5,1.75,0,0,0,918,0.918,61,0,0,2,9,0,21.9021,1.0,1.0,0.28142565690649723,-0.08199999999999996,0.6365743430935028,True
0.1,0.5,1.78,0,0,0,760,0.913462,42,0,0,9,13,1,20.9954,1.0,0.9756291266970645,0.30264467634712844,-0.06216712669706448,0.6108173236528716,True
0.2,0.5,1.87,0,0,0,703,0.895541,44,0,0,22,9,3,21.0971,1.0,0.9523557655754695,0.32688095091166625,-0.056814765575469495,0.5686600490883338,True
0.3,0.5,1.76,0,0,0,731,0.874402,42,0,0,46,10,4,21.4707,1.0,0.9301077193634131,0.35480991491608627,-0.055705719363413064,0.5195920850839137,True
0.4,0.5,1.76,0,0,0,803,0.869048,37,0,0,57,12,8,21.0778,1.00125,0.9088189852042436,0.3873237960762263,-0.0397709852042436,0.48172420392377374,True
0.5,0.5,1.75,0,0,0,827,0.875132,35,0,0,56,9,9,21.915,1.0,0.8884291042866836,0.4256260981222236,-0.013297104286683625,0.44950590187777645,True
0.6,0.5,1.77,0,0,0,857,0.871821,33,0,0,63,11,9,20.9592,1.0,0.8688825917306885,0.4713802058577755,0.0029384082693114655,0.40044079414222444,False
0.7,0.5,1.77,0,0,0,754,0.855846,29,0,0,69,11,9,21.0391,1.0,0.8501284354076186,0.5269520994309534,0.0057175645923813745,0.32889390056904655,False
0.8,0.5,1.75,0,0,0,815,0.86518,28,0,0,66,15,9,21.2491,1.0,0.8321196541625798,0.595824912005707,0.033060345837420124,0.269355087994293,False
1.0,0.5,1.76,0,0,0,673,0.848676,20,0,12,70,5,6,22.1153,0.998512,0.7981681490901273,0.7981681490901273,0.05050785090987264,0.05050785090987264,False
